,single_amount,sub,cg,year,base_itemizers,base_households,reform_itemizers,reform_households,base_ratio,base_ratio_diff,reform_ratio,reform_ratio_diff
131,4300,0.25,-3.45,2035,20055911.78,200923107.71,14876296.27,200923107.71,0.09981884119046906,0.018644595799205382,0.0740397480386951,-0.007134497352568575
132,4400,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
133,4400,0.25,-3.45,2026,16003404.98,192503918.12,11535105.950000001,192503918.12,0.08313287924884757,0.001958633857583894,0.05992140867911806,-0.021252836712145617
134,4400,0.25,-3.45,2035,20055911.78,200923107.71,14992810.72,200923107.71,0.09981884119046906,0.018644595799205382,0.0746196437576493,-0.006554601633614376
135,4500,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
136,4500,0.25,-3.45,2026,16003404.98,192503918.12,11628583.9,192503918.12,0.08313287924884757,0.001958633857583894,0.06040699853574492,-0.020767246855518763
137,4500,0.25,-3.45,2035,20055911.78,200923107.71,15100379.81,200923107.71,0.09981884119046906,0.018644595799205382,0.0751550181664269,-0.006019227224836776
138,4600,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
139,4600,0.25,-3.45,2026,16003404.98,192503918.12,11730447.450000001,192503918.12,0.08313287924884757,0.001958633857583894,0.06093614906418509,-0.02023809632707859
140,4600,0.25,-3.45,2035,20055911.78,200923107.71,15208939.15,200923107.71,0.09981884119046906,0.018644595799205382,0.07569532107751212,-0.0054789243137515625
141,4700,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
142,4700,0.25,-3.45,2026,16003404.98,192503918.12,11850545.89,192503918.12,0.08313287924884757,0.001958633857583894,0.06156002436590822,-0.019614221025355462
143,4700,0.25,-3.45,2035,20055911.78,200923107.71,15291478.24,200923107.71,0.09981884119046906,0.018644595799205382,0.07610612046709318,-0.005068124924170497
144,4800,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
145,4800,0.25,-3.45,2026,16003404.98,192503918.12,11950050.32,192503918.12,0.08313287924884757,0.001958633857583894,0.062076919974952245,-0.019097325416311435
146,4800,0.25,-3.45,2035,20055911.78,200923107.71,15389956.66,200923107.71,0.09981884119046906,0.018644595799205382,0.07659625035370701,-0.0045779950375566675
147,4900,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
148,4900,0.25,-3.45,2026,16003404.98,192503918.12,12039646.31,192503918.12,0.08313287924884757,0.001958633857583894,0.06254234421605341,-0.01863190117521027
149,4900,0.25,-3.45,2035,20055911.78,200923107.71,15491881.1,200923107.71,0.09981884119046906,0.018644595799205382,0.07710353117949989,-0.00407071421176379
150,5000,0.25,-3.45,2025,15480820.71,190710990.11,15480820.71,190710990.11,0.08117424539126368,0.0,0.08117424539126368,0.0
151,5000,0.25,-3.45,2026,16003404.98,192503918.12,12121451.69,192503918.12,0.08313287924884757,0.001958633857583894,0.06296729857957449,-0.01820694681168919
